##,state,constituency,2004,2008,2013,2018,GE14_malay_ratio,GE14_chinese_ratio,GE14_indian_ratio,GE14_others_ratio,GE14_registered_voters,GE14_majority,GE14_malay_voters,GE14_chinese_voters,GE14_indian_voters,GE14_others_voters,GE14_majority_pct,GE15_malay_ratio,GE15_chinese_ratio,GE15_indian_ratio,GE15_others_ratio,GE15_registered_voters,GE15_malay_voters,GE15_chinese_voters,GE15_indian_voters,GE15_others_voters,registered_voters_increase,registered_voters_increase_pct,malay_voters_increase,malay_ratio_increase_pct,chinese_voters_increase,chinese_ratio_increase_pct,indian_voters_increase,indian_ratio_increase_pct,others_voters_increase,others_ratio_increase_pct
P001,Perlis,Padang Besar,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,86,9,0,5,46096,1438,39642.56,4148.64,0.0,2304.8,3.119576535925026,89.80184124,5.640269287,1.648547708,2.90934177,60192,54053,3394,992,1751,14096,30.579659840333218,14410.440000000002,3.8018412400000017,-754.6400000000003,-3.3597307130000003,992.0,1.648547708,-553.8000000000002,-2.09065823
P002,Perlis,Kangar,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,81,16,2,1,55938,5603,45309.78,8950.08,1118.76,559.38,10.016446780363975,87.33029377,9.576661014,1.518090151,1.574955067,74859,65374,7168,1136,1178,18921,33.824949050734745,20064.22,6.330293769999997,-1782.08,-6.423338985999999,17.24000000000001,-0.481909849,618.62,0.5749550670000001
P003,Perlis,Arau,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,88,8,0,4,48187,4856,42404.56,3854.96,0.0,1927.48,10.077406769460643,89.41732185,6.576505182,2.338845905,1.667327063,60876,54433,4003,1423,1015,12689,26.33282835619566,12028.440000000002,1.4173218499999933,148.03999999999996,-1.423494818,1423.0,2.338845905,-912.48,-2.332672937
P004,Kedah,Langkawi,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,91,6,2,1,42697,8893,38854.27,2561.82,853.94,426.97,20.82816122912617,91.86024551,5.122479587,1.934122091,1.083152808,66777,61341,3420,1291,723,24080,56.397404969904215,22486.730000000003,0.8602455099999986,858.1799999999998,-0.877520413,437.05999999999995,-0.0658779089999999,296.03,0.08315280799999991
P005,Kedah,Jerlun,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,91,8,0,2,54132,5866,49260.12,4330.56,0.0,1082.64,10.836473804773517,93.45941566,4.178451848,0.085617747,2.276514746,67601,63179,2824,57,1538,13469,24.881770486957812,13918.879999999997,2.4594156600000048,-1506.5600000000004,-3.821548152,57.0,0.085617747,455.3599999999999,0.27651474600000014
P006,Kedah,Kubang Pasu,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,86,9,4,1,73881,13009,63537.66,6649.29,2955.24,738.81,17.608045370257578,88.56110011,7.38735793,2.939805143,1.111736816,108217,95838,7994,3181,1203,34336,46.474736400427716,32300.339999999997,2.561100109999998,1344.71,-1.6126420699999997,225.76000000000022,-1.060194857,464.19000000000005,0.11173681600000007
P007,Kedah,Padang Terap,BN-UMNO,PR-PAS,BN-UMNO,BN-UMNO,92,1,0,7,46644,1099,42912.48,466.44,0.0,3265.08,2.3561444130006004,91.66453919,0.793017616,0.044677049,7.497766148,59806,54820,474,26,4484,13162,28.217991595918022,11907.519999999997,-0.3354608100000007,7.560000000000002,-0.20698238400000002,26.0,0.044677049,1218.92,0.4977661480000002
P008,Kedah,Pokok Sena,BN-UMNO,PR-PAS,PR-PAS,PH-PAN,80,18,2,0,86892,5558,69513.6,15640.56,1737.84,0.0,6.396446163052985,85.15264438,12.1827055,2.150898092,0.513752027,114838,97787,13990,2470,589,27946,32.161764028909445,28273.399999999994,5.152644379999998,-1650.5599999999995,-5.817294499999999,732.1600000000001,0.15089809199999982,589.0,0.513752027
P009,Kedah,Alor Setar (previously known as Alor Star)[3],BN-MCA,BN-MCA,PR-PKR,PH-PKR,61,34,5,0,80272,15200,48965.92,27292.48,4013.6,0.0,18.935618895754438,68.52072479,28.1345022,3.000693494,0.344079521,105994,72627,29820,3180,364,25722,32.04355192346024,23661.08,7.520724790000003,2527.5200000000004,-5.8654978,-833.5999999999999,-1.999306506,364.0,0.344079521
P010,Kedah,Kuala Kedah,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,78,21,1,0,97753,13481,76247.34,20528.13,977.53,0.0,13.790881098278312,75.58628338,22.93257965,1.150206608,0.330930362,132500,100151,30385,1524,438,34747,35.54571215205671,23903.660000000003,-2.4137166200000024,9856.869999999999,1.932579650000001,546.47,0.15020660799999996,438.0,0.330930362
P011,Kedah,Pendang,BA-PAS,PR-PAS,BN-UMNO,GS-PAS,88,6,0,6,74867,5808,65882.96,4492.02,0.0,4492.02,7.757757089238249,90.80974028,2.906075874,0.423802732,5.860381115,94547,85857,2747,400,5540,19680,26.286614930476702,19974.039999999994,2.8097402799999998,-1745.0200000000004,-3.093924126,400.0,0.423802732,1047.9799999999996,-0.13961888499999997
P012,Kedah,Jerai,BN-UMNO,PR-PAS,BN-UMNO,GS-PAS,79,15,6,0,79976,539,63181.04,11996.4,4798.56,0.0,0.6739521856556967,87.48194511,7.473920719,4.795377949,0.248756219,105001,91856,7847,5035,261,25025,31.290637191157344,28674.96,8.481945109999998,-4149.4,-7.526079281,236.4399999999996,-1.2046220510000003,261.0,0.248756219
P013,Kedah,Sik,BN-UMNO,PR-PAS,BN-UMNO,GS-PAS,93,2,0,5,50385,5218,46858.05,1007.7,0.0,2519.25,10.356256822467005,94.07706982,0.782907287,0.086989699,5.053033193,63126,59387,494,54,3189,12741,25.287287883298593,12528.949999999997,1.0770698200000055,-513.7,-1.217092713,54.0,0.086989699,669.75,0.05303319300000009
P014,Kedah,Merbok,BN-UMNO,PR-PKR,BN-UMNO,PH-PKR,65,17,18,0,87782,10072,57058.3,14922.94,15800.76,0.0,11.473878471668451,74.0518163,13.49254781,12.09340018,0.362235707,132444,98077,17870,16016,479,44662,50.87831218245198,41018.7,9.051816299999999,2947.0599999999995,-3.5074521900000004,215.23999999999978,-5.90659982,479.0,0.362235707
P015,Kedah,Sungai Petani,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,59,29,12,0,112577,21569,66420.43,32647.33,13509.24,0.0,19.159330946818624,69.18329073,19.31029571,11.03716775,0.469245804,168847,116813,32604,18635,792,56270,49.98356680316582,50392.57000000001,10.183290729999996,-43.330000000001746,-9.689704290000002,5125.76,-0.96283225,792.0,0.469245804
P016,Kedah,Baling,BN-UMNO,PR-PAS,BN-UMNO,BN-UMNO,89,5,5,1,107213,1074,95419.57,5360.65,5360.65,1072.13,1.0017441914693181,92.12868878,3.018290065,3.232246615,1.620774537,132099,121701,3987,4269,2141,24886,23.211737382593522,26281.429999999993,3.1286887800000045,-1373.6499999999996,-1.981709935,-1091.6499999999996,-1.7677533849999998,1068.87,0.620774537
P017,Kedah,Padang Serai,BN-MCA,PR-PKR,PR-PKR,PH-PKR,56,23,21,0,84834,8813,47507.04,19511.82,17815.14,0.0,10.3885234693637,70.11459185,14.16065639,15.2044714,0.520280357,133867,93860,18956,20353,696,49033,57.79875993115968,46352.96,14.114591849999996,-555.8199999999997,-8.83934361,2537.8600000000006,-5.795528600000001,696.0,0.520280357
P018,Kedah,Kulim-Bandar Baharu,BN-UMNO,PR-PKR,BN-UMNO,PH-PKR,68,19,13,0,66587,4860,45279.16,12651.53,8656.31,0.0,7.298721972757445,73.82509124,14.4396589,11.50606265,0.229187207,90141,66546,13016,10371,206,23554,35.373271058915414,21266.839999999997,5.825091240000006,364.46999999999935,-4.5603411000000005,1714.6900000000005,-1.4939373499999995,206.0,0.229187207
P019,Kelantan,Tumpat,BA-PAS,PR-PAS,PR-PAS,GS-PAS,93,3,0,4,110924,17500,103159.32,3327.72,0.0,4436.96,15.776567740074285,92.46455242,4.124300432,0.098597783,3.312549369,149371,138115,6160,147,4947,38447,34.66066856586492,34955.67999999999,-0.535447579999996,2832.28,1.124300432,147.0,0.098597783,510.03999999999996,-0.6874506309999999
P020,Kelantan,Pengkalan Chepa,BA-PAS,PR-PAS,PR-PAS,GS-PAS,98,2,0,0,75384,13232,73876.32,1507.68,0.0,0.0,17.552796349357955,97.28848937,2.10454202,0.32141165,0.285556964,106982,104081,2251,343,305,31598,41.916056457603744,30204.679999999993,-0.7115106300000065,743.3199999999999,0.10454201999999979,343.0,0.32141165,305.0,0.285556964
P021,Kelantan,Kota Bharu,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,83,16,1,0,88708,5869,73627.64,14193.28,887.08,0.0,6.616088740587095,92.72397255,6.605537605,0.291823466,0.378666375,115450,107049,7626,336,437,26742,30.146097308021822,33421.36,9.72397255,-6567.280000000001,-9.394462395,-551.08,-0.708176534,437.0,0.378666375
P022,Kelantan,Pasir Mas,BA-PAS,PR-PAS,PR-PAS,GS-PAS,97,3,0,0,71222,13075,69085.34,2136.66,0.0,0.0,18.35809160090983,98.50893221,1.287941954,0.007096099,0.196029733,94544,93134,1217,6,185,23322,32.74549998595939,24048.660000000003,1.5089322099999976,-919.6599999999999,-1.712058046,6.0,0.007096099,185.0,0.196029733
P023,Kelantan,Rantau Panjang,BA-PAS,PR-PAS,PR-PAS,GS-PAS,98,1,0,1,66115,6150,64792.7,661.15,0.0,661.15,9.301973833471981,97.82389719,1.642063216,0.018235498,0.515804099,93248,91218,1531,17,480,27133,41.03909854042198,26425.300000000003,-0.17610281000000327,869.85,0.6420632159999999,17.0,0.018235498,-181.14999999999998,-0.484195901
P024,Kelantan,Kubang Kerian,BA-PAS,PR-PAS,PR-PAS,GS-PAS,98,2,0,0,82018,19369,80377.64,1640.36,0.0,0.0,23.615547806579045,97.49864765,2.025587049,0.282200512,0.193564786,113640,110797,2301,320,219,31622,38.55495135214222,30419.36,-0.5013523500000048,660.6400000000001,0.025587048999999862,320.0,0.282200512,219.0,0.193564786
P025,Kelantan,Bachok,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,99,1,0,0,92606,3292,91679.94,926.06,0.0,0.0,3.5548452584065826,98.78947031,0.86722603,0.071735093,0.271568565,123183,121691,1068,88,334,30577,33.018378938729676,30011.059999999998,-0.21052969000000132,141.94000000000005,-0.13277397000000002,88.0,0.071735093,334.0,0.271568565
P026,Kelantan,Ketereh,BN-UMNO,PR-PKR,BN-UMNO,BN-UMNO,97,2,0,1,65238,4626,63280.86,1304.76,0.0,652.38,7.090959256874828,97.70039668,1.909475339,0.076715815,0.31341217,85281,83319,1628,65,267,20043,30.722891566265066,20038.14,0.7003966799999972,323.24,-0.0905246609999999,65.0,0.076715815,-385.38,-0.68658783
P027,Kelantan,Tanah Merah,BN-UMNO,PR-PKR,BN-UMNO,BN-UMNO,95,4,1,0,73172,2929,69513.4,2926.88,731.72,0.0,4.002897283113759,95.39564715,3.803454282,0.301964806,0.498933763,98782,94233,3757,298,492,25610,34.99972667140436,24719.600000000006,0.39564715000000206,830.1199999999999,-0.19654571799999987,-433.72,-0.698035194,492.0,0.498933763
P028,Kelantan,Pasir Putih,BA-PAS,PR-PAS,PR-PAS,GS-PAS,98,1,0,1,85411,1360,83702.78,854.11,0.0,854.11,1.5923007575136692,98.87597991,0.460129518,0.054830249,0.609060328,113070,111799,520,61,688,27659,32.38341665593425,28096.22,0.8759799099999981,-334.11,-0.539870482,61.0,0.054830249,-166.11,-0.390939672
P029,Kelantan,Machang,BN-UMNO,PR-PKR,BN-UMNO,BN-UMNO,96,4,0,0,68387,2824,65651.52,2735.48,0.0,0.0,4.129439805811046,98.00016437,1.800765234,0.094969363,0.104101033,88825,87048,1599,84,92,20438,29.88579700820331,21396.479999999996,2.000164369999993,-1136.48,-2.199234766,84.0,0.094969363,92.0,0.104101033
P030,Kelantan,Jeli,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,99,0,0,1,47470,6647,46995.3,0.0,0.0,474.7,14.002527912365705,99.37335049,0.21581705,0.232718385,0.178114071,59798,59423,129,139,106,12328,25.970086370339153,12427.699999999997,0.3733504900000071,129.0,0.21581705,139.0,0.232718385,-368.7,-0.821885929
P031,Kelantan,Kuala Krai,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,94,4,1,1,70348,7992,66127.12,2813.92,703.48,703.48,11.360664126911924,95.43923757,3.494148437,0.835514296,0.231099699,92335,88123,3226,771,213,21987,31.25461988969125,21995.880000000005,1.439237570000003,412.0799999999999,-0.5058515629999998,67.51999999999998,-0.16448570399999995,-490.48,-0.768900301
P032,Kelantan,Gua Musang,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,80,7,0,13,52524,3913,42019.2,3676.68,0.0,6828.12,7.449927652120936,93.75685601,4.548099394,1.358324987,0.336719607,70254,65867,3195,954,236,17730,33.75599725839615,23847.800000000003,13.756856010000007,-481.67999999999984,-2.4519006059999997,954.0,1.358324987,-6592.12,-12.663280393
P033,Terengganu,Besut,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,98,2,0,0,86627,4599,84894.46,1732.54,0.0,0.0,5.308968335507405,98.60539461,0.991808192,0.073526474,0.329270729,111650,110092,1107,82,367,25023,28.88591316794995,25197.539999999994,0.6053946100000047,-625.54,-1.0081918079999999,82.0,0.073526474,367.0,0.329270729
P034,Terengganu,Setiu,BN-UMNO,BN-UMNO,BN-UMNO,GS-PAS,100,0,0,0,86247,2802,86247.0,0.0,0.0,0.0,3.2488086542140597,99.61630975,0.185602876,0.033291996,0.164795379,107294,106882,199,35,176,21047,24.403167646410886,20635.0,-0.3836902500000008,199.0,0.185602876,35.0,0.033291996,176.0,0.164795379
P035,Terengganu,Kuala Nerus,BN-UMNO,BN-UMNO,PR-PAS,GS-PAS,99,1,0,0,83663,8447,82826.37,836.63,0.0,0.0,10.096458410527951,97.90357278,1.588138524,0.370495353,0.137793338,105952,103730,1682,392,145,22289,26.641406595508176,20903.630000000005,-1.0964272199999954,845.37,0.5881385240000001,392.0,0.370495353,145.0,0.137793338
P036,Terengganu,Kuala Terengganu,BN-UMNO,BN-UMNO,PR-PAS,GS-PAS,89,10,1,0,103611,14773,92213.79,10361.1,1036.11,0.0,14.25813861462586,94.6444884,4.789139639,0.395586588,0.170785374,123305,116701,5905,487,210,19694,19.007634324540824,24487.210000000006,5.6444884,-4456.1,-5.210860361,-549.1099999999999,-0.604413412,210.0,0.170785374
P037,Terengganu,Marang,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,98,2,0,0,104898,21954,102800.04,2097.96,0.0,0.0,20.928902362294803,98.50406423,1.291944529,0.030567495,0.173423747,131756,129785,1702,40,228,26858,25.603919998474712,26984.960000000006,0.5040642299999973,-395.96000000000004,-0.708055471,40.0,0.030567495,228.0,0.173423747
P038,Terengganu,Hulu Terengganu,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,99,1,0,0,73487,2868,72752.13,734.87,0.0,0.0,3.9027310952957666,99.49331633,0.190148703,0.017079225,0.299455742,87917,87471,167,15,263,14430,19.636126117544595,14718.869999999995,0.49331632999999897,-567.87,-0.809851297,15.0,0.017079225,263.0,0.299455742
P039,Terengganu,Dungun,BN-UMNO,BN-UMNO,PR-PAS,GS-PAS,96,4,0,0,90506,13119,86885.76,3620.24,0.0,0.0,14.495171590833758,97.53775893,2.176480183,0.084814875,0.200946012,115559,112713,2515,98,232,25053,27.681037721256054,25827.240000000005,1.5377589299999954,-1105.2399999999998,-1.8235198170000002,98.0,0.084814875,232.0,0.200946012
P040,Terengganu,Kemaman,BN-UMNO,BN-UMNO,BN-UMNO,GS-PAS,93,6,1,0,107593,2163,100061.49,6455.58,1075.93,0.0,2.0103538334278253,95.72013773,3.765049392,0.359696683,0.155116193,139423,133455,5249,501,216,31830,29.583708977349833,33393.509999999995,2.7201377300000047,-1206.58,-2.234950608,-574.9300000000001,-0.640303317,216.0,0.155116193
P041,Pulau Pinang,Kepala Batas,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,76,19,4,1,60523,4736,45997.48,11499.37,2420.92,605.23,7.825124332898237,87.17764088,8.990052538,3.622512023,0.209794561,83081,72428,7469,3009,174,22558,37.271780975827376,26430.519999999997,11.177640879999998,-4030.370000000001,-10.009947462,588.0799999999999,-0.3774879769999999,-431.23,-0.790205439
P042,Pulau Pinang,Tasek Gelugor,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,78,15,7,0,60850,81,47463.0,9127.5,4259.5,0.0,0.133114215283484,78.19072981,16.63193238,4.878237042,0.299100768,80868,63231,13449,3944,241,20018,32.89728841413311,15768.0,0.19072980999999345,4321.5,1.6319323799999985,-315.5,-2.1217629579999997,241.0,0.299100768
P043,Pulau Pinang,Bagan,DAP,PR-DAP,PR-DAP,PH-DAP,15,70,15,0,71583,43902,10737.45,50108.1,10737.45,0.0,61.33020409873853,21.6346477,65.47615619,12.40051077,0.48868535,89447,19351,58566,11091,437,17864,24.955645893578083,8613.55,6.634647699999999,8457.900000000001,-4.5238438100000025,353.5499999999993,-2.5994892299999997,437.0,0.48868535
P044,Pulau Pinang,Permatang Pauh,BA-PKR,PR-PKR,PR-PKR,PH-PKR,70,23,6,1,81789,15668,57252.3,18811.47,4907.34,817.89,19.156610302118867,78.4329123,15.55707878,5.575446209,0.434562709,107186,84069,16675,5976,465,25397,31.05185293865924,26816.699999999997,8.432912299999998,-2136.470000000001,-7.442921220000001,1068.6599999999999,-0.4245537910000001,-352.89,-0.5654372910000001
P045,Pulau Pinang,Bukit Mertajam,DAP,PR-DAP,PR-DAP,PH-DAP,19,71,10,0,88998,52877,16909.62,63188.58,8899.8,0.0,59.41369468976831,27.8717288,61.29333005,10.44777086,0.38717029,120819,33674,74053,12622,467,31821,35.754736061484536,16764.38,8.8717288,10864.419999999998,-9.706669949999998,3722.2000000000007,0.4477708600000003,467.0,0.38717029
P046,Pulau Pinang,Batu Kawan,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,21,56,23,0,65394,33553,13732.74,36620.64,15040.62,0.0,51.30898859222559,34.18714963,45.68034811,19.18460151,0.947900741,88812,30362,40569,17038,841,23418,35.81062482796587,16629.260000000002,13.18714963,3948.3600000000006,-10.319651890000003,1997.3799999999992,-3.8153984899999998,841.0,0.947900741
P047,Pulau Pinang,Nibong Tebal,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,45,37,18,0,73383,15817,33022.35,27151.71,13208.94,0.0,21.5540384012646,50.43353202,33.0116135,16.33206142,0.22279306,100062,50464,33032,16342,222,26679,36.35583173214505,17441.65,5.433532020000001,5880.290000000001,-3.988386499999997,3133.0599999999995,-1.6679385800000013,222.0,0.22279306
P048,Pulau Pinang,Bukit Bendera,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,14,74,11,1,75069,40731,10509.66,55551.06,8257.59,750.69,54.258082564041075,17.88085502,70.00610206,10.4946311,1.618411825,92521,16543,64770,9709,1497,17452,23.247945223727505,6033.34,3.8808550199999985,9218.940000000002,-3.9938979399999965,1451.4099999999999,-0.5053689000000006,746.31,0.6184118249999999
P049,Pulau Pinang,Tanjong,DAP,PR-DAP,PR-DAP,PH-DAP,5,86,9,0,49586,29599,2479.3,42643.96,4462.74,0.0,59.69225184527891,16.92688874,70.99539859,11.4051992,0.67251347,52803,8937,37487,6022,355,3217,6.4877183075868095,6457.7,11.926888739999999,-5156.959999999999,-15.004601410000006,1559.2600000000002,2.4051992,355.0,0.67251347
P050,Pulau Pinang,Jelutong,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,22,67,11,0,76991,38171,16938.02,51583.97,8469.01,0.0,49.578522164928366,26.72895828,62.42369888,10.12436969,0.722973158,93989,25122,58671,9515,679,16998,22.077905209699832,8183.98,4.7289582800000005,7087.029999999999,-4.576301119999997,1045.9899999999998,-0.87563031,679.0,0.722973158
P051,Pulau Pinang,Bukit Gelugor,DAP,PR-DAP,PR-DAP,PH-DAP,14,75,10,1,91595,55951,12823.3,68696.25,9159.5,915.95,61.08521207489491,22.4760379,66.78783526,9.891997901,0.84412894,117134,26327,78231,11586,988,25539,27.88252633877395,13503.7,8.476037900000001,9534.75,-8.212164740000006,2426.5,-0.10800209900000013,72.04999999999995,-0.15587105999999995
P052,Pulau Pinang,Bayan Baru,BN-MCA,PR-PKR,PR-PKR,PH-PKR,39,49,11,1,90780,37751,35404.2,44482.2,9985.8,907.8,41.5851509142983,42.35154918,47.51760298,9.235328918,0.895518925,119640,50669,56850,11049,1071,28860,31.791143423661605,15264.800000000003,3.3515491799999992,12367.800000000003,-1.4823970200000005,1063.2000000000007,-1.7646710819999996,163.20000000000005,-0.10448107500000003
