##,state,constituency,2004,2008,2013,2018,GE14_malay_ratio,GE14_chinese_ratio,GE14_indian_ratio,GE14_others_ratio,GE14_registered_voters,GE14_majority,GE14_malay_voters,GE14_chinese_voters,GE14_indian_voters,GE14_others_voters,GE14_majority_pct,GE15_malay_ratio,GE15_chinese_ratio,GE15_indian_ratio,GE15_others_ratio,GE15_registered_voters,GE15_malay_voters,GE15_chinese_voters,GE15_indian_voters,GE15_others_voters,registered_voters_increase,registered_voters_increase_pct,malay_voters_increase,malay_ratio_increase_pct,chinese_voters_increase,chinese_ratio_increase_pct,indian_voters_increase,indian_ratio_increase_pct,others_voters_increase,others_ratio_increase_pct
P213,Sarawak,Mukah,BN-PBDS,BN-PBB,BN-PBB,BN-PBB,75,10,0,15,30608,7000,22956.0,3060.8,0.0,4591.2,22.86983795086252,91.98237233,7.793578491,0.059252676,0.164796504,46964,43198,3660,27,77,16356,53.4370099320439,20242.0,16.982372330000004,599.1999999999998,-2.206421509,27.0,0.059252676,-4514.2,-14.835203496
P214,Sarawak,Selangau,BN-PBB,BN-PRS,BN-PRS,PH-PKR,13,4,0,83,30026,486,3903.38,1201.04,0.0,24921.58,1.618597215746353,95.86969044,3.793228511,0.03413479,0.302946259,45743,43853,1735,15,138,15717,52.34463464997003,39949.62,82.86969044,533.96,-0.20677148899999986,15.0,0.03413479,-24783.58,-82.697053741
P215,Sarawak,Kapit,BN-PBDS,BN-PBB,BN-PBB,BN-PBB,22,10,0,68,30658,10479,6744.76,3065.8,0.0,20847.44,34.18031182725553,93.04066079,6.842969927,0.057043764,0.059325515,45210,42063,3093,25,26,14552,47.465588100985066,35318.24,71.04066079,27.199999999999818,-3.1570300729999996,25.0,0.057043764,-20821.44,-67.940674485
P216,Sarawak,Hulu Rajang,BN-SPDP,BN-PRS,BN-PRS,BN-PRS,20,0,0,80,27520,6315,5504.0,0.0,0.0,22016.0,22.946947674418606,97.63692041,1.804829137,0.054199073,0.504051381,43438,42411,783,23,218,15918,57.84156976744186,36907.0,77.63692041,783.0,1.804829137,23.0,0.054199073,-21798.0,-79.495948619
P217,Sarawak,Bintulu,BN-SUPP,BN-SPDP,BN-SPDP,BN-PDP,29,28,0,43,65049,7022,18864.21,18213.72,0.0,27971.07,10.794939199680242,82.10758842,17.29999749,0.149107614,0.443306474,113599,93273,19652,169,503,48550,74.63604359790313,74408.79000000001,53.10758842,1438.2799999999988,-10.700002510000001,169.0,0.149107614,-27468.07,-42.556693526
P218,Sarawak,Sibuti,BN-SPDP,BN-PBB,BN-PBB,BN-PBB,33,22,0,45,31868,3676,10516.44,7010.96,0.0,14340.6,11.535082214133299,86.72031264,12.71040404,0.149244546,0.420038773,58522,50750,7438,87,245,26654,83.63875988452365,40233.56,53.72031264,427.03999999999996,-9.28959596,87.0,0.149244546,-14095.6,-44.579961227
P219,Sarawak,Miri,BN-PBB,BN-SUPP,PR-PKR,PH-PKR,26,57,0,17,80386,13663,20900.36,45820.02,0.0,13665.62,16.996740725997064,64.97059247,34.38316162,0.319267074,0.326978839,143229,93056,49246,457,468,62843,78.17654815515141,72155.64,38.97059247,3425.980000000003,-22.616838379999997,457.0,0.319267074,-13197.62,-16.673021161
P220,Sarawak,Baram,,BN-SPDP,BN-SPDP,BN-PDP,21,9,0,70,35685,1990,7493.85,3211.65,0.0,24979.5,5.576572789687543,94.61022813,4.903232782,0.055861895,0.43067719,59535,56326,2919,33,256,23850,66.83480453972257,48832.15,73.61022813,-292.6500000000001,-4.096767218,33.0,0.055861895,-24723.5,-69.56932281
P221,Sarawak,Limbang,,BN-PBB,BN-PBB,BN-PBB,45,19,0,36,26409,7710,11884.05,5017.71,0.0,9507.24,29.19459275247075,88.02216344,11.66089019,0.07752645,0.23941992,41999,36968,4897,32,100,15590,59.03290544889999,25083.95,43.02216344,-120.71000000000004,-7.33910981,32.0,0.07752645,-9407.24,-35.76058008
P222,Sarawak,Lawas,,BN-PBB,BN-PBB,BN-PBB,43,10,0,47,21297,6000,9157.71,2129.7,0.0,10009.59,28.172982110156358,92.63581489,6.855418224,0.068985341,0.439781546,33655,31176,2307,23,148,12358,58.02695215288538,22018.29,49.635814890000006,177.30000000000018,-3.144581776,23.0,0.068985341,-9861.59,-46.560218454
