##,2004,2008,2013,2018,state,constituency_s,malay_voter_ratio,non_malay_voter_ratio
P055,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Lenggong,82,16
P056,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Larut,89,11
P057,BN-UMNO,PR-PAS,PR-PAS,PH-PAN,Perak,Parit Buntar,68,32
P058,BN-UMNO,PR-PKR,BN-UMNO,BN-UMNO,Perak,Bagan Serai,76,24
P059,BN-Gerakan,PR-PAS,PR-PAS,BN-UMNO,Perak,Bukit Gantang,65,35
P060,BN-PPP,PR-DAP,PR-DAP,PH-DAP,Perak,Taiping,37,61
P061,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Padang Rengas,76,24
P062,BN-MIC,PR-PKR,PR-PKR,PH-PKR,Perak,Sungai Siput,33,60
P063,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Perak,Tambun,64,34
P064,DAP,PR-DAP,PR-DAP,PH-DAP,Perak,Ipoh Timor,14,85
P065,DAP,PR-DAP,PR-DAP,PH-DAP,Perak,Ipoh Barat,14,85
P066,DAP,PR-DAP,PR-DAP,PH-DAP,Perak,Batu Gajah,11,89
P067,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Kuala Kangsar,68,31
P068,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Perak,Beruas,33,67
P069,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Parit,93,6
P070,BN-MCA,BN-MCA,PR-DAP,PH-DAP,Perak,Kampar,29,70
P071,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Perak,Gopeng,43,55
P072,BN-MIC,BN-MIC,BN-MIC,BN-MIC,Perak,Tapah,46,41
P073,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Pasir Salak,79,18
P074,BN-MCA,BN-MCA,PR-PKR,PH-PAN,Perak,Lumut,51,47
P075,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Bagan Datuk (previously known as Bagan Datok)[3],55,44
P076,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Perak,Teluk Intan (previously known as Telok Intan)[3],38,61
P077,BN-MCA,BN-MCA,BN-MCA,PH-PKR,Perak,Tanjong Malim,53,41
P078,BN-MIC,BN-MIC,BN-MIC,BN-MIC,Pahang,Cameron Highlands,34,66
P079,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Lipis,76,23
P080,BN-MCA,BN-MCA,PR-DAP,PH-DAP,Pahang,Raub,50,46
P081,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Jerantut,81,17
P082,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Pahang,Indera Mahkota,65,35
P083,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Pahang,Kuantan,63,37
P084,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Paya Besar,81,17
P085,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Pekan,88,11
P086,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Maran,90,9
P087,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Kuala Krau,90,8
P088,BN-UMNO,BN-UMNO,PR-PAS,PH-PAN,Pahang,Temerloh,64,33
P089,BN-MCA,BN-MCA,BN-MCA,PH-DAP,Pahang,Bentong,45,53
P090,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Bera,59,37
P091,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pahang,Rompin,87,11
P092,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Selangor,Sabak Bernam,81,18
P093,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Selangor,Sungai Besar,66,33
P094,BN-MIC,PR-PKR,BN-MIC,PH-PKR,Selangor,Hulu Selangor,56,41
P095,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Selangor,Tanjong Karang,72,27
